cod_ine,ccaa,date,uci
06,Cantabria,2020-03-12,0
07,CLM,2020-03-12,9
08,CyL,2020-03-12,4
09,Cataluña,2020-03-12,0
18,Ceuta,2020-03-12,0
10,C. Valenciana,2020-03-12,2
11,Extremadura,2020-03-12,1
12,Galicia,2020-03-12,2
13,Madrid,2020-03-12,135
19,Melilla,2020-03-12,0
14,Murcia,2020-03-12,1
15,Navarra,2020-03-12,3
16,País Vasco,2020-03-12,18
17,La Rioja,2020-03-12,1
01,Andalucía,2020-03-13,8
02,Aragón,2020-03-13,3
03,Asturias,2020-03-13,2
04,Baleares,2020-03-13,2
05,Canarias,2020-03-13,2
06,Cantabria,2020-03-13,0
07,CLM,2020-03-13,10
08,CyL,2020-03-13,8
09,Cataluña,2020-03-13,25
18,Ceuta,2020-03-13,0
10,C. Valenciana,2020-03-13,2
11,Extremadura,2020-03-13,1
12,Galicia,2020-03-13,2
13,Madrid,2020-03-13,180
19,Melilla,2020-03-13,0
14,Murcia,2020-03-13,1
15,Navarra,2020-03-13,4
16,País Vasco,2020-03-13,20
17,La Rioja,2020-03-13,2
01,Andalucía,2020-03-16,11
02,Aragón,2020-03-16,7
03,Asturias,2020-03-16,3
04,Baleares,2020-03-16,4
05,Canarias,2020-03-16,9
06,Cantabria,2020-03-16,2
07,CLM,2020-03-16,23
08,CyL,2020-03-16,24
09,Cataluña,2020-03-16,33
18,Ceuta,2020-03-16,0
10,C. Valenciana,2020-03-16,4
11,Extremadura,2020-03-16,1
12,Galicia,2020-03-16,9
13,Madrid,2020-03-16,253
19,Melilla,2020-03-16,0
14,Murcia,2020-03-16,2
15,Navarra,2020-03-16,5
16,País Vasco,2020-03-16,29
17,La Rioja,2020-03-16,13
